bill_id,bill_type,submit_diet_no,bill_no,bill_subject,status,submit_person,submit_parties,representatives_accept_date,representatives_finish_date,representatives_deliveration_result,councilors_accept_date,councilors_finish_date,councilors_deliveration_result,promulgation_date,body_link
117,閣法,213,6,在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律の一部を改正する法律案,成立,内閣,,,2024-03-15,可決,2024-02-09,2024-03-27,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309006.htm
118,閣法,213,7,二千二十七年国際園芸博覧会政府委員の設置に関する臨時措置法案,成立,内閣,,,2024-03-22,可決,2024-02-09,2024-03-29,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309007.htm
119,閣法,213,8,国家公務員等の旅費に関する法律の一部を改正する法律案,成立,内閣,,,2024-04-09,可決,2024-02-09,2024-04-25,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309008.htm
120,閣法,213,9,生活困窮者自立支援法等の一部を改正する法律案,成立,内閣,,,2024-03-27,修正,2024-02-09,2024-04-16,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309009.htm
121,閣法,213,10,雇用保険法等の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-10,可決,2024-02-09,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309010.htm
122,閣法,213,11,奄美群島振興開発特別措置法及び小笠原諸島振興開発特別措置法の一部を改正する法律案,成立,内閣,,,2024-03-15,可決,2024-02-09,2024-03-29,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309011.htm
123,閣法,213,12,広域的地域活性化のための基盤整備に関する法律の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-19,可決,2024-02-09,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309012.htm
124,閣法,213,13,特定防衛調達に係る国庫債務負担行為により支出すべき年限に関する特別措置法の一部を改正する法律案,成立,内閣,,,2024-03-15,可決,2024-02-09,2024-03-22,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309013.htm
125,閣法,213,14,防衛省設置法等の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-11,可決,2024-02-09,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309014.htm
126,閣法,213,15,裁判所職員定員法の一部を改正する法律案,成立,内閣,,,2024-03-15,可決,2024-02-13,2024-04-04,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309015.htm
127,閣法,213,16,脱炭素成長型経済構造への円滑な移行のための低炭素水素等の供給及び利用の促進に関する法律案,参議院で審議中,内閣,,,2024-04-05,可決,2024-02-13,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309016.htm
128,閣法,213,17,二酸化炭素の貯留事業に関する法律案,参議院で審議中,内閣,,,2024-04-05,可決,2024-02-13,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309017.htm
129,閣法,213,18,都市緑地法等の一部を改正する法律案,衆議院で審議中,内閣,,,,,2024-02-13,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309018.htm
130,閣法,213,19,流通業務の総合化及び効率化の促進に関する法律及び貨物自動車運送事業法の一部を改正する法律案,成立,内閣,,,2024-04-10,可決,2024-02-13,2024-04-25,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309019.htm
131,閣法,213,20,令和六年能登半島地震災害の被災者に係る所得税法及び災害被害者に対する租税の減免、徴収猶予等に関する法律の臨時特例に関する法律案,成立,内閣,,,2024-02-16,可決,2024-02-16,2024-02-21,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309020.htm
132,閣法,213,21,地方税法の一部を改正する法律案,成立,内閣,,,2024-02-16,可決,2024-02-16,2024-02-21,可決,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309021.htm
133,閣法,213,22,子ども・子育て支援法等の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-18,可決,2024-02-16,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309022.htm
134,閣法,213,23,新たな事業の創出及び産業への投資を促進するための産業競争力強化法等の一部を改正する法律案,衆議院で審議中,内閣,,,2024-04-26,可決,2024-02-16,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309023.htm
135,閣法,213,24,重要経済安保情報の保護及び活用に関する法律案,参議院で審議中,内閣,,,2024-04-05,修正,2024-02-27,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309024.htm
136,閣法,213,25,経済施策を一体的に講ずることによる安全保障の確保の推進に関する法律の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-05,可決,2024-02-27,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309025.htm
137,閣法,213,26,食料・農業・農村基本法の一部を改正する法律案,参議院で審議中,内閣,,,2024-04-18,修正,2024-02-27,,,,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g21309026.htm
